problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,univ_bn,1.0,1.0,0,1,0.0,800.0,0.0,0.002273798,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,univ_bn,10.0,10,0,1,0.0,800.0,0.0,0.0023086071,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,aic,0.1,0.1,1,1,197.0,800.0,0.067567568,23.167017,0.33080549,0.019771355299999998,0.043435007,-0.0038922964,-198.09913,-206.69671499999998,-207.65469,-205.73874,46.28458,37.667145000000005,35.759993,39.574297,-207.65469,35.759993,0.043435007,-198.09913,46.28458,0.33080549,-205.73874,39.574297,-0.0038922964
Braid_100,Braid,100,large,aic,1.0,1.0,1,1,0.0,800.0,0.0,1.9174578,0.020465523,-0.011102056450000002,-0.020452692,-0.0017514209,-138.14064,-138.64351,-138.9006,-138.38642,0.607684,0.6667988,0.67119565,0.66240195,-138.9006,0.67119565,-0.020452692,-138.14064,0.607684,0.020465523,-138.38642,0.66240195,-0.0017514209
Braid_100,Braid,100,large,aic,10.0,10,1,1,0.0,800.0,0.0,1.9063981,-0.017673069,-0.009769832434,-0.019619621,7.9956132e-05,-138.13105,-138.642295,-138.89377,-138.39082,0.59375961,0.6442950599999999,0.66003267,0.62855745,-138.89377,0.66003267,-0.019619621,-138.13105,0.59375961,-0.017673069,-138.39082,0.62855745,7.9956132e-05
Braid_100,Braid,100,large,bic,0.1,0.1,1,1,131.0,800.0,0.060869565,12.404305,0.21793313,-0.00046476450000000006,-0.011377076,0.010447547,-196.08177,-201.69663,-203.40006,-199.9932,57.654692,40.993576000000004,30.717684,51.269468,-203.40006,30.717684,-0.011377076,-196.08177,57.654692,0.21793313,-199.9932,51.269468,0.010447547
Braid_100,Braid,100,large,bic,1.0,1.0,1,1,0.0,800.0,0.0,1.9725769,0.020465523,-0.011102056450000002,-0.020452692,-0.0017514209,-138.14064,-138.64351,-138.9006,-138.38642,0.607684,0.6667988,0.67119565,0.66240195,-138.9006,0.67119565,-0.020452692,-138.14064,0.607684,0.020465523,-138.38642,0.66240195,-0.0017514209
Braid_100,Braid,100,large,bic,10.0,10,1,1,0.0,800.0,0.0,1.9524624,-0.017673069,-0.009769832434,-0.019619621,7.9956132e-05,-138.13105,-138.642295,-138.89377,-138.39082,0.59375961,0.6442950599999999,0.66003267,0.62855745,-138.89377,0.66003267,-0.019619621,-138.13105,0.59375961,-0.017673069,-138.39082,0.62855745,7.9956132e-05
Braid_100,Braid,100,large,binotears,0.1,0.1,1,1,,,nan,0.071072817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,binotears,1.0,1.0,1,1,,,nan,0.056720018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,binotears,10.0,10,1,1,,,nan,0.059943676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,bounded_tw,0.1,0.1,1,1,132.0,800.0,0.0086580087,8.8490255,0.18056259,-0.013845617900000001,-0.020540958,-0.0071502778,-188.46721,-193.034435,-193.8069,-192.26197,61.302083,26.64577,20.102058,33.189482,-193.8069,20.102058,-0.020540958,-188.46721,61.302083,0.18056259,-192.26197,33.189482,-0.0071502778
Braid_100,Braid,100,large,bounded_tw,1.0,1.0,1,1,0.0,800.0,0.0,4.0279145,0.020465523,-0.011102056450000002,-0.020452692,-0.0017514209,-138.14064,-138.64351,-138.9006,-138.38642,0.607684,0.6667988,0.67119565,0.66240195,-138.9006,0.67119565,-0.020452692,-138.14064,0.607684,0.020465523,-138.38642,0.66240195,-0.0017514209
Braid_100,Braid,100,large,bounded_tw,10.0,10,1,1,0.0,800.0,0.0,4.7497725,-0.017673069,-0.009769832434,-0.019619621,7.9956132e-05,-138.13105,-138.642295,-138.89377,-138.39082,0.59375961,0.6442950599999999,0.66003267,0.62855745,-138.89377,0.66003267,-0.019619621,-138.13105,0.59375961,-0.017673069,-138.39082,0.62855745,7.9956132e-05
Braid_100,Braid,100,large,dmbbn,0.1,0.1,1,1,485.0,800.0,0.071917808,903.1566,0.5940154,-0.0014046447499999996,-0.0087651574,0.0059558679,-127.11192,-146.21766,-146.06142,-146.3739,19.709103,9.5705291,11.173983,7.9670752,-146.06142,11.173983,-0.0087651574,-127.11192,19.709103,0.5940154,-146.3739,7.9670752,0.0059558679
